team,season,win_rate,WSWin,mean_pa,mean_avg,mean_slg,mean_iso,mean_babip,mean_obp,mean_w_oba,mean_w_rc,mean_bsr,mean_off,mean_war,mean_innings,mean_drs,mean_uzr,mean_uzr150,mean_def
angels,1998,0.5246913580246914,N,196.25,0.27139108280254776,0.41609187898089167,0.1445904458598726,0.3066528662420382,0.33503407643312105,0.32973359872611463,94.34108280254777,-0.03783439490445861,1.4225318471337582,1.0820063694267517,274.8642857142857,NA,NA,NA,NA
diamondbacks,1998,0.4012345679012346,N,169.88888888888889,0.2464954218443427,0.3926465009810333,0.14634483322432962,0.2886520601700458,0.3135001635055592,0.3108953564421191,82.0490516677567,-0.11922825376062787,-3.2785317200784827,1.226504251144539,369.43870967741935,NA,NA,NA,NA
braves,1998,0.654320987654321,N,182.85294117647058,0.2715451182242239,0.4517982949975872,0.18041177416760493,0.3004884992761782,0.3411532893678624,0.34475020106160525,107.75856522438475,0.1848479974264115,11.59679909924401,3.1311404214251244,359.528125,NA,NA,NA,NA
orioles,1998,0.4876543209876543,N,191.03030303030303,0.2723310596446701,0.4463959390862944,0.1739942893401015,0.2908464467005076,0.3466521256345178,0.3470651967005076,108.4817576142132,-0.29346446700507617,7.232979060913706,2.2770780456852795,336.66764705882355,NA,NA,NA,NA
red_sox,1998,0.5679012345679012,N,203.29032258064515,0.2794961916851793,0.46134052681688353,0.18219501745477626,0.31077689622342114,0.34772373849571564,0.3522066010790226,107.03030783878134,-0.2048556013963821,6.748016502697556,2.790796572516661,318.975,NA,NA,NA,NA
white_sox,1998,0.49079754601226994,N,241.57692307692307,0.2713227193122114,0.44445757045056516,0.17313485113835378,0.2895734755612164,0.338498646712307,0.34054418086291993,103.26683649100461,0.4932335615347875,7.658748606909729,2.4138194555007164,410.9142857142857,NA,NA,NA,NA
cubs,1998,0.5521472392638037,N,163.94871794871796,0.26438927119174227,0.4325182984047544,0.1680531748514232,0.3016492023772287,0.3363192055051611,0.3356560838285893,100.20675633406319,-0.4423834845167344,6.6302627463246795,1.9617141069752895,337.5028571428571,NA,NA,NA,NA
reds,1998,0.47530864197530864,N,139.3111111111111,0.2619850055830276,0.40169708087414263,0.13975562290636465,0.30076583187111183,0.33578880204179296,0.32485404370713034,91.89966501834424,0.28899345988195885,2.9459403413622587,1.5425426702823417,288.08,NA,NA,NA,NA
indians,1998,0.5493827160493827,N,199.25,0.27306398996235887,0.45013676286072773,0.17710006273525722,0.30408845671267254,0.3465525407779172,0.34670090966122963,103.3858218318695,0.5734943538268507,7.460962986198243,2.58030112923463,291.86,NA,NA,NA,NA
rockies,1998,0.47530864197530864,N,156.925,0.2906823323243588,0.4596084116616218,0.1689187509956986,0.31995125059741913,0.34610705751155013,0.34994424087940096,87.57065477138761,-0.5526047474908395,-2.782029631989804,1.3160426955552014,301.4973684210526,NA,NA,NA,NA
